ip,duration,trans_protocol,app_protocol,send_bytes,recv_bytes,t_same_main_engine,t_same_server,t_same_server_rate,t_diff_server_rate,t_diff_main_engine_rate,t_same_main_engine_2,t_same_server_2,t_same_server_rate_2,t_diff_server_rate_2,t_diff_main_engine_rate_2,same_main_engine,same_server,same_server_rate,diff_server_rate,same_src_rate,diff_src_rate,std,mean,send_rst_flag_rate,label
192.168.89.22,5002667,0,1,1646,559,17,41,1.0,0.0,0.59,11,27,1.0,0.0,0.59,30,30,1.0,0.0,0.03,0.97,138068.62433595365,5245.713286713287,0.32966999999999996,0
192.168.89.10,61335,0,1,483,531,14,42,1.0,0.0,0.67,11,27,1.0,0.0,0.59,16,16,1.0,0.0,0.06,0.94,138068.6261862769,5245.659340659341,0.33066999999999996,0
192.168.89.22,279837,0,1,472,527,18,43,1.0,0.0,0.58,11,28,1.0,0.0,0.61,31,31,1.0,0.0,0.03,0.97,138068.6284160766,5245.594405594406,0.33166999999999996,0
192.168.89.22,5003219,0,1,1646,559,18,43,1.0,0.0,0.58,12,29,1.0,0.0,0.59,32,32,1.0,0.0,0.03,0.97,138068.5932275573,5246.756243756244,0.33066999999999996,0
192.168.89.22,5003053,0,1,1646,559,19,44,1.0,0.0,0.57,13,30,1.0,0.0,0.57,33,33,1.0,0.0,0.03,0.97,138068.5601869155,5247.855144855145,0.33066999999999996,0
223.109.146.129,205876,0,3,2108,5289,2,9,1.0,0.0,0.78,2,8,1.0,0.0,0.75,2,2,1.0,0.0,0.5,0.5,138068.5137065314,5249.4785214785215,0.32966999999999996,0
192.168.89.10,69301,0,1,483,531,15,44,1.0,0.0,0.66,12,31,1.0,0.0,0.61,17,17,1.0,0.0,0.06,0.94,138068.51555832734,5249.424575424576,0.33066999999999996,1
192.168.89.10,4777420,0,1,548,2211,16,45,1.0,0.0,0.64,13,32,1.0,0.0,0.59,18,18,1.0,0.0,0.06,0.94,138068.51552430633,5249.425574425573,0.33066999999999996,0
192.168.89.22,5003864,0,1,1646,559,19,46,1.0,0.0,0.59,14,32,1.0,0.0,0.56,34,34,1.0,0.0,0.03,0.97,138068.48215574882,5250.533466533467,0.33066999999999996,0
192.168.89.10,7277,0,1,483,531,17,45,1.0,0.0,0.62,14,32,1.0,0.0,0.56,19,19,1.0,0.0,0.05,0.95,138068.4843826698,5250.468531468531,0.33166999999999996,0
192.168.89.22,5004072,0,1,1646,559,19,46,1.0,0.0,0.59,14,33,1.0,0.0,0.58,35,35,1.0,0.0,0.03,0.97,138068.45100573587,5251.576423576424,0.33166999999999996,0
192.168.89.22,5004196,0,1,1652,1054,20,47,1.0,0.0,0.57,14,28,1.0,0.0,0.5,36,36,1.0,0.0,0.03,0.97,138068.41783834447,5252.679320679321,0.33166999999999996,0
117.131.23.144,155458,0,1,1507,632,1,48,1.0,0.0,0.98,1,29,1.0,0.0,0.97,1,1,1.0,0.0,1.0,0.0,138068.38851695086,5253.6373626373625,0.33166999999999996,1
192.168.89.10,4668590,0,1,548,2211,18,49,1.0,0.0,0.63,15,29,1.0,0.0,0.48,20,20,1.0,0.0,0.05,0.95,138068.38814198598,5253.64835164835,0.33166999999999996,0
192.168.89.10,115777,0,1,483,531,19,49,1.0,0.0,0.61,15,29,1.0,0.0,0.48,21,21,1.0,0.0,0.05,0.95,138068.38999541278,5253.594405594406,0.33266999999999997,1
192.168.89.10,71583,0,1,483,532,20,50,1.0,0.0,0.6,16,30,1.0,0.0,0.47,22,22,1.0,0.0,0.05,0.95,138068.39184881852,5253.54045954046,0.33366999999999997,1
117.184.34.196,202821,0,3,1622,7233,2,9,1.0,0.0,0.78,2,9,1.0,0.0,0.78,2,2,1.0,0.0,0.5,0.5,138068.3590759477,5254.624375624377,0.33366999999999997,0
183.232.23.240,171694,0,3,1412,3104,2,10,1.0,0.0,0.8,2,10,1.0,0.0,0.8,2,2,1.0,0.0,0.5,0.5,138068.33197524268,5255.498501498501,0.33466999999999997,1
39.106.123.113,222810,0,3,1364,2842,2,11,1.0,0.0,0.82,2,11,1.0,0.0,0.82,2,2,1.0,0.0,0.5,0.5,138068.30658767966,5256.313686313686,0.33466999999999997,0
192.168.89.10,93718,0,1,483,531,21,48,1.0,0.0,0.56,13,27,1.0,0.0,0.52,23,23,1.0,0.0,0.04,0.96,138068.30881732196,5256.248751248751,0.33566,1
120.241.17.13,155181,0,3,215,128,1,12,1.0,0.0,0.92,1,12,1.0,0.0,0.92,1,1,1.0,0.0,1.0,0.0,138068.32018718982,5255.927072927073,0.33566,1
183.232.23.240,159158,0,3,1555,3104,3,13,1.0,0.0,0.77,3,13,1.0,0.0,0.77,3,3,1.0,0.0,0.33,0.67,138068.28917397885,5256.944055944055,0.33666,1
47.93.55.132,236468,0,3,1554,6375,1,14,1.0,0.0,0.93,1,14,1.0,0.0,0.93,1,1,1.0,0.0,1.0,0.0,138068.25855537507,5257.949050949051,0.33666,0
192.168.89.10,7944,0,1,483,531,22,49,1.0,0.0,0.55,14,28,1.0,0.0,0.5,24,24,1.0,0.0,0.04,0.96,138068.26078578722,5257.884115884116,0.33766,0
192.168.89.10,5511837,0,1,548,2211,23,48,1.0,0.0,0.52,14,25,1.0,0.0,0.44,25,25,1.0,0.0,0.04,0.96,138068.26078578722,5257.884115884116,0.33766,0
